original_product_id,family_category_id,shipping_details_id,product_id,weight,shipping_length,shipping_width,shipping_height,shipping_class,free_shipping,special_shipping,amount_per_box,description
165,12,NULL,NULL,NULL,NULL,NULL,NULL,WWF,0,0,1,Academy Fence Company Fence Pen Kits
40881,12,NULL,NULL,130,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40882,12,NULL,NULL,130,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40883,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,Academy Fence Company Fence Pen Kits
40884,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,Academy Fence Company Fence Pen Kits
40885,12,NULL,NULL,160,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40886,12,NULL,NULL,160,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40887,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,Academy Fence Company Fence Pen Kits
40888,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,Academy Fence Company Fence Pen Kits
40890,12,NULL,NULL,200,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40891,12,NULL,NULL,200,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40892,12,NULL,NULL,210,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40893,12,NULL,NULL,210,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40894,12,NULL,NULL,255,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40895,12,NULL,NULL,255,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40896,12,NULL,NULL,265,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40897,12,NULL,NULL,265,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40899,12,NULL,NULL,345,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40900,12,NULL,NULL,345,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40901,12,NULL,NULL,355,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40902,12,NULL,NULL,355,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40903,12,NULL,NULL,450,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40904,12,NULL,NULL,450,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40905,12,NULL,NULL,475,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
40906,12,NULL,NULL,475,NULL,NULL,NULL,WWFPK,0,0,1,Academy Fence Company Fence Pen Kits
