original_product_id,family_category_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating
520,6,NULL,NULL,12 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
521,6,NULL,NULL,18 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
522,6,NULL,NULL,24 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
523,6,NULL,NULL,36 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
524,6,NULL,NULL,48 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
525,6,NULL,NULL,60 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
526,6,NULL,NULL,72 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
527,6,NULL,NULL,90 in. x 100 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black - Vinyl PVC Coated,Vinyl PVC Coated
530,6,NULL,NULL,12 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
531,6,NULL,NULL,18 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
532,6,NULL,NULL,24 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
533,6,NULL,NULL,36 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
534,6,NULL,NULL,48 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
535,6,NULL,NULL,60 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
536,6,NULL,NULL,72 in. x 150 ft.,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
537,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,NULL,Galvanized
538,6,NULL,NULL,24 in. x 150 ft.,2 in. x 2 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
539,6,NULL,NULL,36 in. x 150 ft.,2 in. x 2 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
540,6,NULL,NULL,48 in. x 150 ft.,2 in. x 2 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
541,6,NULL,NULL,60 in. x 150 ft.,2 in. x 2 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
542,6,NULL,NULL,72 in. x 150 ft.,2 in. x 2 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
35781,6,NULL,NULL,NULL,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
35782,6,NULL,NULL,NULL,1 in. x 1 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
35783,6,NULL,NULL,NULL,2 in. x 2 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
36927,6,NULL,NULL,18 in. x 150 ft.,2 in. x 2 in.,20 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Galvanized,Galvanized
43766,6,NULL,NULL,72 in. x 150 ft.,1 in. x 1 in.,18 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,Vinyl PVC Coated
